Training Starts
Iter 50 of 468 loss 1.9009, Img -0.0000,  Label 0.167348, Reg: 0.003801, SegX: 0.864433,SegY: 0.865364
Iter 51 of 468 loss 2.0178, Img -0.0000,  Label 0.220315, Reg: 0.003722, SegX: 0.916365,SegY: 0.877382
Iter 52 of 468 loss 1.7844, Img -0.0000,  Label 0.106200, Reg: 0.004152, SegX: 0.836132,SegY: 0.837960
Iter 53 of 468 loss 1.8255, Img -0.0000,  Label 0.179942, Reg: 0.004011, SegX: 0.836779,SegY: 0.804769
Iter 54 of 468 loss 1.6221, Img -0.0000,  Label 0.099853, Reg: 0.003747, SegX: 0.770543,SegY: 0.747953
Iter 55 of 468 loss 1.8146, Img -0.0000,  Label 0.153515, Reg: 0.004115, SegX: 0.812692,SegY: 0.844267
Iter 56 of 468 loss 1.9167, Img -0.0000,  Label 0.137542, Reg: 0.004047, SegX: 0.888033,SegY: 0.887120
Iter 57 of 468 loss 1.9254, Img -0.0000,  Label 0.162258, Reg: 0.004104, SegX: 0.891990,SegY: 0.867082
Iter 58 of 468 loss 1.7539, Img -0.0000,  Label 0.115714, Reg: 0.004845, SegX: 0.807630,SegY: 0.825688
Iter 59 of 468 loss 1.5112, Img -0.0000,  Label 0.109728, Reg: 0.004812, SegX: 0.667912,SegY: 0.728703
Iter 60 of 468 loss 1.8633, Img -0.0000,  Label 0.165928, Reg: 0.004384, SegX: 0.837126,SegY: 0.855831
Iter 61 of 468 loss 1.5174, Img -0.0000,  Label 0.125365, Reg: 0.004886, SegX: 0.651067,SegY: 0.736104
Iter 62 of 468 loss 1.4548, Img -0.0000,  Label 0.115436, Reg: 0.004317, SegX: 0.643618,SegY: 0.691404
Iter 63 of 468 loss 1.3925, Img -0.0000,  Label 0.088225, Reg: 0.004208, SegX: 0.607365,SegY: 0.692719
Iter 64 of 468 loss 1.7022, Img -0.0000,  Label 0.138140, Reg: 0.004292, SegX: 0.755145,SegY: 0.804619
Iter 65 of 468 loss 1.9366, Img -0.0000,  Label 0.177643, Reg: 0.004194, SegX: 0.869095,SegY: 0.885651
Iter 66 of 468 loss 1.5878, Img -0.0000,  Label 0.136702, Reg: 0.004253, SegX: 0.621902,SegY: 0.824972
Iter 67 of 468 loss 1.7967, Img -0.0000,  Label 0.169221, Reg: 0.004085, SegX: 0.752891,SegY: 0.870499
Iter 68 of 468 loss 1.3612, Img -0.0000,  Label 0.083720, Reg: 0.004271, SegX: 0.563146,SegY: 0.710033
Iter 69 of 468 loss 1.6513, Img -0.0000,  Label 0.156136, Reg: 0.004765, SegX: 0.709809,SegY: 0.780633
Iter 70 of 468 loss 1.7313, Img -0.0000,  Label 0.210604, Reg: 0.004763, SegX: 0.706687,SegY: 0.809223
Iter 71 of 468 loss 1.6349, Img -0.0000,  Label 0.266425, Reg: 0.004313, SegX: 0.563175,SegY: 0.801001
Iter 72 of 468 loss 1.2031, Img -0.0000,  Label 0.087590, Reg: 0.004713, SegX: 0.472619,SegY: 0.638181
Iter 73 of 468 loss 1.5255, Img -0.0000,  Label 0.106173, Reg: 0.004699, SegX: 0.668204,SegY: 0.746378
Iter 74 of 468 loss 2.0866, Img -0.0000,  Label 0.525647, Reg: 0.005049, SegX: 0.740496,SegY: 0.815425
Iter 75 of 468 loss 1.4024, Img -0.0000,  Label 0.186790, Reg: 0.005086, SegX: 0.519549,SegY: 0.690972
Iter 76 of 468 loss 1.9188, Img -0.0000,  Label 0.341266, Reg: 0.005482, SegX: 0.700912,SegY: 0.871104
Iter 77 of 468 loss 1.3925, Img -0.0000,  Label 0.152720, Reg: 0.005875, SegX: 0.449582,SegY: 0.784337
Iter 78 of 468 loss 1.0645, Img -0.0000,  Label 0.142307, Reg: 0.007434, SegX: 0.239886,SegY: 0.674917
Iter 79 of 468 loss 1.8126, Img -0.0000,  Label 0.190023, Reg: 0.007688, SegX: 0.768157,SegY: 0.846736
Iter 80 of 468 loss 1.0816, Img -0.0000,  Label 0.117088, Reg: 0.009158, SegX: 0.296027,SegY: 0.659372
Iter 81 of 468 loss 1.3969, Img -0.0000,  Label 0.180418, Reg: 0.007850, SegX: 0.403730,SegY: 0.804921
Iter 82 of 468 loss 1.3508, Img -0.0000,  Label 0.118369, Reg: 0.007393, SegX: 0.552664,SegY: 0.672373
Iter 83 of 468 loss 1.3034, Img -0.0000,  Label 0.143731, Reg: 0.008339, SegX: 0.475988,SegY: 0.675373
Iter 84 of 468 loss 1.2157, Img -0.0000,  Label 0.114967, Reg: 0.007997, SegX: 0.427913,SegY: 0.664849
Iter 85 of 468 loss 1.0500, Img -0.0000,  Label 0.082864, Reg: 0.007720, SegX: 0.448491,SegY: 0.510939
Iter 86 of 468 loss 1.3101, Img -0.0000,  Label 0.134322, Reg: 0.009747, SegX: 0.466825,SegY: 0.699212
Iter 87 of 468 loss 1.5204, Img -0.0000,  Label 0.134092, Reg: 0.009334, SegX: 0.626281,SegY: 0.750672
Iter 88 of 468 loss 1.7482, Img -0.0000,  Label 0.315567, Reg: 0.008788, SegX: 0.718752,SegY: 0.705098
Iter 89 of 468 loss 1.1100, Img -0.0000,  Label 0.123211, Reg: 0.008436, SegX: 0.439159,SegY: 0.539218
Iter 90 of 468 loss 1.5084, Img -0.0000,  Label 0.218149, Reg: 0.008250, SegX: 0.536577,SegY: 0.745447
Iter 91 of 468 loss 1.3577, Img -0.0000,  Label 0.193368, Reg: 0.008423, SegX: 0.411399,SegY: 0.744461
Iter 92 of 468 loss 1.2818, Img -0.0000,  Label 0.159915, Reg: 0.008860, SegX: 0.475843,SegY: 0.637212
Iter 93 of 468 loss 1.2848, Img -0.0000,  Label 0.185232, Reg: 0.008152, SegX: 0.390676,SegY: 0.700709
Iter 94 of 468 loss 1.1299, Img -0.0000,  Label 0.185797, Reg: 0.008484, SegX: 0.439969,SegY: 0.495678
Iter 95 of 468 loss 1.0266, Img -0.0000,  Label 0.128490, Reg: 0.009261, SegX: 0.341113,SegY: 0.547740
Iter 96 of 468 loss 0.9505, Img -0.0000,  Label 0.165452, Reg: 0.007779, SegX: 0.305054,SegY: 0.472238
Iter 97 of 468 loss 0.8492, Img -0.0000,  Label 0.091223, Reg: 0.007747, SegX: 0.352193,SegY: 0.398041
